name,QA,id,image_url,description,enabled,personalized,sql_request
1 dollar stocks,1,1,https://gainy-collections-production.s3.amazonaws.com/1%20dollar%20stocks.png,Best stocks under 1 dollar,1,0,where (ct.ttype ilike 'common stock' AND ct.price <=1.5 AND ct.chrt_1d >=-1 and ct.chrt_1d <=1)
10 Best stocks,1,2,https://gainy-collections-production.s3.amazonaws.com/10%20best%20stocks.png,,0,0,
10 dollars stocks,1,3,https://gainy-collections-production.s3.amazonaws.com/10%20dollar%20stocks.png,Best stocks under $10,1,0,where (ct.ttype ilike 'common stock' AND ct.price >7 and ct.price <=13 AND ct.chrt_1d >=-0.2 and ct.chrt_1d <=0.2)
100 dollars index fund and ETFs,2,4,https://gainy-collections-production.s3.amazonaws.com/100%20dollars%20index%20fund%20and%20etfs.png,,0,0,where (ct.price between 90 and 110 AND ct.chrt_1d >=-0.2 and ct.chrt_1d <=0.2 AND ct.ttype ilike 'ETF')
100 dollars stocks,1,5,https://gainy-collections-production.s3.amazonaws.com/100%20dollars%20stocks.png,Best stocks under $100,1,0,where (ct.ttype ilike 'common stock' AND ct.price between 90 and 110 AND ct.chrt_1d >=-0.2 and ct.chrt_1d <=0.2)
2 dollars stocks,1,6,https://gainy-collections-production.s3.amazonaws.com/2%20dollars%20stocks.png,Best stocks under $2,1,0,where (ct.ttype ilike 'common stock' AND ct.price >1.5 and ct.price <=3 AND ct.chrt_1d >=-1 and ct.chrt_1d <=1)
20 dollars stocks,1,7,https://gainy-collections-production.s3.amazonaws.com/20%20dollars%20stocks.png,Best stocks under $20,1,0,where (ct.ttype ilike 'common stock' AND ct.price between 17 and 23 AND ct.chrt_1d >=-0.2 and ct.chrt_1d <=0.2)
3D printing ETFs,2,8,https://gainy-collections-production.s3.amazonaws.com/3d%20printing%20etfs.png,,0,0,where (ct.ttype ilike 'ETF') AND (ct.g_industry ilike any(array['3D Printing']))
3D printing stocks,1,9,https://gainy-collections-production.s3.amazonaws.com/3d%20printing%20stocks.png,Companies involved in additive manufacturing,0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['3D Printing']))
3d system stock,1,10,https://gainy-collections-production.s3.amazonaws.com/3d%20system%20stocks.png,,0,0,
5 dollars stock,1,11,https://gainy-collections-production.s3.amazonaws.com/5%20dollars%20stocks.png,Best stoks under $5,1,0,where (ct.ttype ilike 'common stock' AND ct.price >3 and ct.price <=7 AND ct.chrt_1d >=-0.5 and ct.chrt_1d <=0.5)
5$ Biotech Stocks,2,12,https://gainy-collections-production.s3.amazonaws.com/5%20dollars%20biotech%20stocks.png,Best biotech companies under $5,1,0,where (ct.ttype ilike 'common stock' AND ct.price >3 and ct.price <=7 AND ct.chrt_1d >=-0.5 and ct.chrt_1d <=0.5) AND (ct.g_industry ilike any(array['Biopharmaceutical']))
50 dollars stocks,1,13,https://gainy-collections-production.s3.amazonaws.com/abstract+1.png,Best stocks under $50,1,0,where (ct.ttype ilike 'common stock' AND ct.price between 45 and 55 AND ct.chrt_1d >=-0.2 and ct.chrt_1d <=0.2)
5G stocks,1,14,https://gainy-collections-production.s3.amazonaws.com/5g%20stocks.png,Companies that work on 5G network,0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Telecom infrastructure']))
AAA raiting stocks,1,15,https://gainy-collections-production.s3.amazonaws.com/aaa%20raiting%20stocks.png,,0,0,
Agriculture,1,16,https://gainy-collections-production.s3.amazonaws.com/agriculture%20stocks.png,Companies that grow crops and produce food,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Agriculture & AgTech', 'Bread & Condiments', 'Dairy', 'Fruits & Vegetables', 'Meat & Poultry']))"
AI,1,17,https://gainy-collections-production.s3.amazonaws.com/ai%20companies%20stocks.png,Technology companies that utilize artificial intelligence,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Analytics and AI', 'AR/VR', 'Computer Vision and Sensor', 'Healthcare Robotics', 'IoT', 'Precision manufacturing', 'Technology Conglomerate']))"
Airline ETFs,1,18,https://gainy-collections-production.s3.amazonaws.com/airline%20etfs.png,,0,0,
Airlines,1,19,https://gainy-collections-production.s3.amazonaws.com/airline%20stocks.png,Companies involved in air travel,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Aircraft Leasing', 'Airlines', 'Online Travel Company']))"
Alcohol Stocks,1,20,https://gainy-collections-production.s3.amazonaws.com/abstract+2.png,Companies that produce and sell wine and liquor,0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Wine & Liquor']))
"AR, VR, XR Stocks",1,21,https://gainy-collections-production.s3.amazonaws.com/ar%20vr%20xr%20stocks.png,"Companies that develop AR, VR, XR",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['AR/VR']))
Automotive stocks,1,22,https://gainy-collections-production.s3.amazonaws.com/automotive%20stocks.png,,0,0,"where (ct.g_industry ilike any(array['Auto Dealer', 'Auto Manufacturers', 'Auto Marketplace', 'Auto Parts & Services', 'Electric Vehicles', 'Recreational Vehicle']))"
Banking ETFs,2,23,https://gainy-collections-production.s3.amazonaws.com/banking%20etfs.png,,0,0,"where (ct.ttype ilike 'ETF') AND (ct.g_industry ilike any(array['Banks', 'Investment Banking & Advisory']))"
Best bonds to buy,2,24,https://gainy-collections-production.s3.amazonaws.com/best%20bonds%20to%20buy.png,,0,0,
Best European Stocks,1,25,https://gainy-collections-production.s3.amazonaws.com/best%20european%20stocks.png,,0,0,
Best index funds,1,26,https://gainy-collections-production.s3.amazonaws.com/best%20index%20funds.png,,0,0,
Best mid cap stocks,1,27,https://gainy-collections-production.s3.amazonaws.com/best%20mid%20cap%20stocks.png,,0,0,
Best of ETFs,1,28,https://gainy-collections-production.s3.amazonaws.com/best%20of%20etfs.png,,0,0,
Best small cap ETFs,1,29,https://gainy-collections-production.s3.amazonaws.com/best%20small%20cap%20etfs.png,,0,0,
Best small cap stocks,1,30,https://gainy-collections-production.s3.amazonaws.com/dow%20jones%20companies.png,,0,0,
Best stocks this week,1,31,https://gainy-collections-production.s3.amazonaws.com/best%20stocks%20this%20week.png,,0,0,
Best stocks today,1,32,https://gainy-collections-production.s3.amazonaws.com/best%20stocks%20today.png,,0,0,
Best today and now,1,33,https://gainy-collections-production.s3.amazonaws.com/best%20stocks%20today.png,,0,0,
Best value stock,1,34,https://gainy-collections-production.s3.amazonaws.com/best%20value%20stocks.png,,0,0,
Biggest oil stocks,1,35,https://gainy-collections-production.s3.amazonaws.com/biggest%20oil%20stocks.png,,0,0,
Biotech ETFs,2,36,https://gainy-collections-production.s3.amazonaws.com/biotech%20etfs.png,,0,0,where (ct.ttype ilike 'ETF') AND (ct.g_industry ilike any(array['Biopharmaceutical']))
Biotechnology,1,37,https://gainy-collections-production.s3.amazonaws.com/biotech%20stocks.png,Companies at the frontier of biotech,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Biopharmaceutical', 'Laboratory Equipment', 'Cancer disease', 'COVID Pharmaceuticals', 'Dermatology Pharmaceuticals', 'Lung cancer disease']))"
Blue chip stocks,1,38,https://gainy-collections-production.s3.amazonaws.com/blue%20chip%20stocks.png,,0,0,
Cannabis ETFs,2,39,https://gainy-collections-production.s3.amazonaws.com/cannabis%20etfs.png,,0,0,where (ct.ttype ilike 'ETF') AND (ct.g_industry ilike any(array['Cannabis']))
Cannabis Penny stocks,3,40,https://gainy-collections-production.s3.amazonaws.com/cannabis%20penny%20stocks.png,Marijuana companies under 5 dollars,1,0,where (ct.ttype ilike 'common stock' AND ct.investcat ilike 'Penny' AND ct.price <=5) AND (ct.g_industry ilike any(array['Cannabis']))
Cannabis,1,41,https://gainy-collections-production.s3.amazonaws.com/cannabis%20stocks.png,"Companies engaged in research, development, distribution, and sale of medical and recreational marijuana",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Cannabis']))
Cars,1,42,https://gainy-collections-production.s3.amazonaws.com/cars%20stocks.png,"Companies involved in production, disctribution or maintenance of cars",1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Auto Dealer', 'Auto Manufacturers', 'Auto Marketplace', 'Auto Parts & Services', 'Electric Vehicles', 'Recreational Vehicle']))"
Casino,1,43,https://gainy-collections-production.s3.amazonaws.com/casino%20stocks.png,Stocks of casinos and resorts,0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Casino and Resorts']))
Chinese stocks,1,44,https://gainy-collections-production.s3.amazonaws.com/chinese%20stocks.png,All Chinese companies that are listed in USA,1,0,where (ct.ttype ilike 'common stock' AND ct.country_name ilike '%china%')
Cloud computing stocks,1,45,https://gainy-collections-production.s3.amazonaws.com/cloud%20computing%20stocks.png,Companies that provide Cloud computing,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Enterprise Cloud', 'Technology Conglomerate']))"
Coffee stocks,1,46,https://gainy-collections-production.s3.amazonaws.com/coffee%20stocks.png,Coffee and tea companies,0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Coffee & Tea']))
Commodities stocks,1,47,https://gainy-collections-production.s3.amazonaws.com/commodities%20stocks.png,"Energy, metals, livestock and agricultural companies",1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Agriculture & AgTech', 'Basic Chemicals', 'Specialty Chemicals', 'Coal mining', 'Industrial Conglomerates', 'Industrial Metals', 'Liquified Natural Gas', 'Oil & Gas Producer']))"
